"axiom","refc","conf","expt","poss","nec","time","ari","bls","ncis","tp"
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Agent>),134983,708,93161,0.0492085536665134,0,16294419,-0.950791446333487,0.0735164784715026,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Airport>),134983,12687,122232,0.00447169781640289,0,4965686,-0.995528302183597,0.332995207093057,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Bridge>),134983,3259,131663,0.00030251973814388,0,1595080,-0.999697480261856,0.162547333564719,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Broadcaster>),134983,1,89912,0.0573919596188842,0,43153988,-0.942608040381116,0.00463104759567206,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Building>),134983,67620,67311,0.134748009851592,0,15180239,-0.865251990148408,0.5,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Castle>),134983,816,93110,0.0493317575549552,0,419605,-0.950668242445045,0.079086515520042,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/EducationalInstitution>),134983,708,93161,0.0492085536665134,0,13759494,-0.950791446333487,0.0735164784715026,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/HistoricBuilding>),134983,5072,88797,0.0603588793069129,0,2583142,-0.939641120693087,0.205190007223789,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Hospital>),134983,2328,91541,0.0532035894410513,0,1262534,-0.946796410558949,0.136267633689677,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Hotel>),134983,1045,92881,0.0498870160462588,0,541261,-0.950112983953741,0.0898512574811528,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Infrastructure>),134983,65555,69376,0.126062869933501,0,11587016,-0.873937130066499,0.5,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/LaunchPad>),134983,83,134848,5.00126074776119e-07,0,93456,-0.999999499873925,0.0248988587167721,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Library>),134983,708,93174,0.0491771753194756,0,392359,-0.950822824680524,0.0735164784715026,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Lighthouse>),134983,1471,92455,0.0509288744997399,0,766618,-0.94907112550026,0.107268066515496,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/MilitaryStructure>),134983,3320,90562,0.0557000051007694,0,1828795,-0.944299994899231,0.16413891745457,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Museum>),134983,3957,89912,0.0573919596188842,0,2166223,-0.942608040381116,0.180016178934598,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Organisation>),134983,708,93161,0.0492085536665134,0,16072791,-0.950791446333487,0.0735164784715026,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Park>),134983,1756,133175,8.97073824173145e-05,0,1205104,-0.999910292617583,0.117619129141693,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Person>),134983,1,130907,0.000456015113457942,0,28578067,-0.999543984886542,0.00463104759567206,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Place>),134983,134981,0,1,0.999999999890233,53023,0.999999999890233,0.994650561608348,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/PopulatedPlace>),134983,2,100247,0.0336780417432742,0,68706106,-0.966321958256726,0.00534943839165188,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/PowerStation>),134983,2481,132450,0.000176084232846985,0,1365836,-0.999823915767153,0.140882387011019,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Prison>),134983,740,93129,0.0492858386514872,0,392594,-0.950714161348513,0.0752062126071288,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/PublicTransitSystem>),134983,1437,133482,6.18282084740018e-05,0,691734,-0.999938171791526,0.105973061208012,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RailwayLine>),134983,4012,130907,0.000456015113457942,0,1917257,-0.999543984886542,0.181329559364127,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RailwayStation>),134983,4315,111655,0.0150468852157131,0,1954287,-0.984953114784287,0.188420536637857,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RailwayTunnel>),134983,109,134775,1.1872407096325e-06,0,85115,-0.99999881275929,0.028501876365111,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/ReligiousBuilding>),134983,2609,91260,0.0539137664573585,0,1468736,-0.946086233542642,0.144642838537887,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Restaurant>),134983,623,93303,0.0488663901742507,0,337830,-0.951133609825749,0.0688442480905561,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Road>),134983,17890,117029,0.00888521605074821,0,5665008,-0.991114783949252,0.398574891840811,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RoadJunction>),134983,120,134802,8.99019676481316e-07,0,81968,-0.999999100980324,0.0299004289706067,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RoadTunnel>),134983,132,134752,1.464320457778e-06,0,93580,-0.999998535679542,0.0313578302176553,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/RouteOfTransportation>),134983,27027,95216,0.0443816456570382,0,7429381,-0.955618354342962,0.492289004474673,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Settlement>),134983,2,117029,0.00888521605074821,0,69370737,-0.991114783949252,0.00534943839165188,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/ShoppingMall>),134983,2244,91638,0.0529596254607101,0,1215859,-0.94704037453929,0.133674287146511,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Skyscraper>),134983,2,93924,0.0473851204586074,0,41262,-0.952614879541393,0.00534943839165188,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Station>),134983,23276,111655,0.0150468852157131,0,7748075,-0.984953114784287,0.456435588614142,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/TelevisionStation>),134983,1,89912,0.0573919596188842,0,13711032,-0.942608040381116,0.00463104759567206,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Theatre>),134983,981,92259,0.0514121383657311,0,511257,-0.948587861634269,0.086965026117183,60,8098980
SubClassOf(<http://dbpedia.org/ontology/ArchitecturalStructure> <http://dbpedia.org/ontology/Tunnel>),134983,298,134624,3.53672683173212e-06,0,160736,-0.999996463273168,0.0472597189609557,60,8098980
